year;rgdpnapc_wd;pop_wd
1870;1502;1013941
1871;;
1872;;
1873;;
1874;;
1875;;
1876;;
1877;;
1878;;
1879;;
1880;;
1881;;
1882;;
1883;;
1884;;
1885;;
1886;;
1887;;
1888;;
1889;;
1890;1933;1292040
1891;;
1892;;
1893;;
1894;;
1895;;
1896;;
1897;;
1898;;
1899;;
1900;;
1901;;
1902;;
1903;;
1904;;
1905;;
1906;;
1907;;
1908;;
1909;;
1910;;
1911;;
1912;;
1913;2710;1627706
1914;;
1915;;
1916;;
1917;;
1918;;
1919;;
1920;;
1921;;
1922;;
1923;;
1924;;
1925;;
1926;;
1927;;
1928;;
1929;3243;1788473
1930;;
1931;;
1932;;
1933;;
1934;;
1935;;
1936;;
1937;;
1938;;
1939;;
1940;;
1941;;
1942;;
1943;;
1944;;
1945;;
1946;;
1947;;
1948;;
1949;;
1950;3670;2520873
1951;3826;2564725
1952;3936;2610876
1953;4080;2658730
1954;4130;2709557
1955;4322;2761536
1956;4444;2814794
1957;4516;2872042
1958;4552;2931166
1959;4664;2987654
1960;4849;3033098
1961;4980;3073599
1962;5140;3127050
1963;5250;3192422
1964;5529;3257394
1965;5709;3323845
1966;5886;3392767
1967;5990;3461642
1968;6208;3532818
1969;6420;3605211
1970;6649;3680348
1971;6784;3758614
1972;6969;3835021
1973;7307;3911007
1974;7419;3985621
1975;7409;4058425
1976;7659;4129019
1977;7829;4200999
1978;8032;4273438
1979;8187;4349445
1980;8209;4425172
1981;8180;4500229
1982;8148;4572395
1983;8187;4660950
1984;8388;4740661
1985;8502;4821433
1986;8630;4904242
1987;8774;4989515
1988;8944;5075929
1989;9058;5163047
1990;9056;5251399
1991;8993;5336595
1992;9000;5420168
1993;9066;5502681
1994;9188;5582827
1995;9356;5663646
1996;9574;5744832
1997;9791;5824912
1998;9866;5903798
1999;10052;5981998
2000;10397;6059829
2001;10524;6136888
2002;10704;6214073
2003;10964;6290958
2004;11402;6367788
2005;11798;6444636
2006;12274;6521923
2007;12737;6599585
2008;12912;6677702
2009;12715;6759414
2010;13250;6837299
2011;13587;6914849
2012;13818;6992923
2013;14090;7072213
2014;14376;7152269
2015;14616;7231375
2016;14692;7311687
